x,y,z,valid
-0.25,-0.08,0.12,False
-0.25,-0.08,0.15,False
-0.25,-0.08,0.18,False
-0.25,-0.08,0.21,False
-0.25,-0.08,0.24,False
-0.25,-0.08,0.27,False
-0.25,-0.08,0.3,False
-0.25,-0.08,0.33,False
-0.25,-0.08,0.36,False
-0.25,-0.08,0.39,False
-0.25,-0.08,0.42,False
-0.25,-0.08,0.45,False
-0.25,-0.08,0.48,False
-0.25,-0.05,-0.0,False
-0.25,-0.05,0.03,False
-0.25,-0.05,0.06,False
-0.25,-0.05,0.09,False
-0.25,-0.05,0.12,False
-0.25,-0.05,0.15,False
-0.25,-0.05,0.18,False
-0.25,-0.05,0.21,False
-0.25,-0.05,0.24,False
-0.25,-0.05,0.27,False
-0.25,-0.05,0.3,False
-0.25,-0.05,0.33,False
-0.25,-0.05,0.36,False
-0.25,-0.05,0.39,False
-0.25,-0.05,0.42,False
-0.25,-0.05,0.45,False
-0.25,-0.05,0.48,False
-0.25,-0.02,-0.0,False
-0.25,-0.02,0.03,False
-0.25,-0.02,0.06,False
-0.25,-0.02,0.09,False
-0.25,-0.02,0.12,False
-0.25,-0.02,0.15,False
-0.25,-0.02,0.18,False
-0.25,-0.02,0.21,False
-0.25,-0.02,0.24,False
-0.25,-0.02,0.27,False
-0.25,-0.02,0.3,False
-0.25,-0.02,0.33,False
-0.25,-0.02,0.36,False
-0.25,-0.02,0.39,False
-0.25,-0.02,0.42,False
-0.25,-0.02,0.45,False
-0.25,-0.02,0.48,False
-0.22,-0.5,-0.0,False
-0.22,-0.5,0.03,False
-0.22,-0.5,0.06,False
-0.22,-0.5,0.09,False
-0.22,-0.5,0.12,False
-0.22,-0.5,0.15,False
-0.22,-0.5,0.18,False
-0.22,-0.5,0.21,False
-0.22,-0.5,0.24,False
-0.22,-0.5,0.27,False
-0.22,-0.5,0.3,False
-0.22,-0.5,0.33,False
-0.22,-0.5,0.36,False
-0.22,-0.5,0.39,False
-0.22,-0.5,0.42,False
-0.22,-0.5,0.45,False
-0.22,-0.5,0.48,False
-0.22,-0.47,-0.0,False
-0.22,-0.47,0.03,False
-0.22,-0.47,0.06,False
-0.22,-0.47,0.09,False
-0.22,-0.47,0.12,False
-0.22,-0.47,0.15,False
-0.22,-0.47,0.18,False
-0.22,-0.47,0.21,False
-0.22,-0.47,0.24,False
-0.22,-0.47,0.27,False
-0.22,-0.47,0.3,False
-0.22,-0.47,0.33,False
